jobId,employerId,hourlyRate,startTime,endTime,daysToWork,educationRequirement
15,382,10,7:03:00 AM,3:03:00 PM,"[Wednesday,Thursday,Friday,Saturday,Sunday]",HighSchoolOrCollege
16,382,17.48234438,7:00:00 AM,3:00:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
17,383,10,7:08:00 AM,3:08:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
18,383,25.30680549,8:46:00 AM,4:46:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
19,383,16.99896768,8:37:00 AM,4:37:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
20,383,19.93160497,7:09:00 AM,3:09:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
21,383,70.92855288,7:34:00 AM,3:34:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
22,383,11.74638187,8:26:00 AM,4:26:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
23,383,28.71708247,8:23:00 AM,4:23:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
24,383,75.11437877,7:30:00 AM,3:30:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
25,384,22.88711192,7:36:00 AM,3:36:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
26,384,20.51266643,8:13:00 AM,4:13:00 PM,"[Friday,Monday,Saturday,Wednesday,Sunday]",Low
27,384,31.92911801,8:43:00 AM,4:43:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
28,385,39.91200668,7:52:00 AM,3:52:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
29,385,36.94832026,7:56:00 AM,3:56:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
30,385,21.91088599,7:28:00 AM,3:28:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
31,385,10,7:00:00 AM,3:00:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
32,385,12.62548487,7:48:00 AM,3:48:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
33,385,10,8:26:00 AM,4:26:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
34,386,21.12480604,8:23:00 AM,4:23:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
35,386,30.31803114,8:17:00 AM,4:17:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
36,386,15.09544115,8:37:00 AM,4:37:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
37,386,10,8:38:00 AM,4:38:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
38,386,10.95024197,7:55:00 AM,3:55:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
39,386,33.21557283,7:39:00 AM,3:39:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
40,386,10,8:06:00 AM,4:06:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
41,386,22.14913425,8:27:00 AM,4:27:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
42,387,15.1605733,8:12:00 AM,4:12:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
43,387,10,8:41:00 AM,4:41:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
44,387,30.68671134,7:46:00 AM,3:46:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
45,387,10,7:00:00 AM,3:00:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
46,388,16.08500061,8:07:00 AM,4:07:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
47,388,17.27550459,7:04:00 AM,3:04:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
48,388,19.93699879,8:17:00 AM,4:17:00 PM,"[Tuesday,Friday,Saturday,Thursday,Monday]",HighSchoolOrCollege
49,388,20.9148351,7:31:00 AM,3:31:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
50,388,40.31703284,7:33:00 AM,3:33:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
51,388,10.96884979,8:57:00 AM,4:57:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
52,388,16.9794187,8:41:00 AM,4:41:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
53,389,12.97849429,8:56:00 AM,4:56:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
54,389,10.94286685,7:45:00 AM,3:45:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
55,389,20.32173311,7:05:00 AM,3:05:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
56,389,11.3660394,7:28:00 AM,3:28:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
57,389,45.37532343,8:24:00 AM,4:24:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
58,389,10,7:54:00 AM,3:54:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
59,390,10,7:06:00 AM,3:06:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
60,390,10.80347885,8:12:00 AM,4:12:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
61,390,14.90686549,7:26:00 AM,3:26:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
62,390,31.66387305,8:43:00 AM,4:43:00 PM,"[Thursday,Friday,Monday,Tuesday,Saturday]",Graduate
63,391,10,8:36:00 AM,4:36:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
64,391,15.82508512,8:50:00 AM,4:50:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
65,391,10,8:34:00 AM,4:34:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
66,392,28.76266996,8:57:00 AM,4:57:00 PM,"[Thursday,Tuesday,Friday,Wednesday,Sunday]",HighSchoolOrCollege
67,392,23.31706248,7:22:00 AM,3:22:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
68,392,22.19673816,7:59:00 AM,3:59:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
69,393,24.21787985,8:18:00 AM,4:18:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
70,393,10,7:09:00 AM,3:09:00 PM,"[Sunday,Monday,Friday,Tuesday,Thursday]",Low
71,393,46.65581662,7:39:00 AM,3:39:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
72,393,10.35675954,7:48:00 AM,3:48:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
73,393,10,8:47:00 AM,4:47:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
74,393,10,8:06:00 AM,4:06:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
75,394,10,7:28:00 AM,3:28:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
76,394,64.28110936,7:55:00 AM,3:55:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
77,395,10,8:56:00 AM,4:56:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
78,395,21.59820492,7:01:00 AM,3:01:00 PM,"[Wednesday,Tuesday,Monday,Thursday,Saturday]",HighSchoolOrCollege
79,395,36.55724811,7:14:00 AM,3:14:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
80,395,25.4182925,7:52:00 AM,3:52:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
81,396,22.70419643,7:06:00 AM,3:06:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
82,396,25.5556063,8:04:00 AM,4:04:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
83,396,18.39061465,8:45:00 AM,4:45:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
84,396,19.21708162,8:22:00 AM,4:22:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
85,396,29.02317645,7:06:00 AM,3:06:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
86,396,10,8:55:00 AM,4:55:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
87,396,12.10155555,8:09:00 AM,4:09:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
88,396,10,7:32:00 AM,3:32:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
89,397,10.16880357,7:01:00 AM,3:01:00 PM,"[Saturday,Friday,Thursday,Wednesday,Sunday]",HighSchoolOrCollege
90,397,14.72767694,8:43:00 AM,4:43:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
91,397,15.05775364,8:33:00 AM,4:33:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
92,397,10,8:22:00 AM,4:22:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
93,397,13.37102573,7:36:00 AM,3:36:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
94,397,13.95833699,8:00:00 AM,4:00:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
95,397,31.67978462,8:39:00 AM,4:39:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
96,397,10,7:23:00 AM,3:23:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
97,398,11.71502792,7:36:00 AM,3:36:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
98,398,29.56355041,7:57:00 AM,3:57:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
99,398,28.67414674,7:38:00 AM,3:38:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
100,398,18.24245786,8:48:00 AM,4:48:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
101,399,10,8:24:00 AM,4:24:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
102,399,18.64015779,8:19:00 AM,4:19:00 PM,"[Friday,Tuesday,Monday,Wednesday,Saturday]",HighSchoolOrCollege
103,399,10.33263183,7:38:00 AM,3:38:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
104,399,10,8:34:00 AM,4:34:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
105,399,10,8:08:00 AM,4:08:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
106,399,10,7:14:00 AM,3:14:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
107,399,12.26778286,7:00:00 AM,3:00:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
108,399,11.24544007,7:55:00 AM,3:55:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
109,399,34.79881705,8:22:00 AM,4:22:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
110,400,16.56088317,8:58:00 AM,4:58:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
111,400,15.25942632,8:41:00 AM,4:41:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
112,400,28.54893791,7:58:00 AM,3:58:00 PM,"[Tuesday,Sunday,Wednesday,Monday,Thursday]",HighSchoolOrCollege
113,401,11.25456194,7:36:00 AM,3:36:00 PM,"[Tuesday,Sunday,Saturday,Monday,Wednesday]",Low
114,401,21.24255637,8:34:00 AM,4:34:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
115,401,27.7409999,8:57:00 AM,4:57:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
116,401,10,8:35:00 AM,4:35:00 PM,"[Saturday,Thursday,Tuesday,Sunday,Monday]",HighSchoolOrCollege
117,401,11.02886316,7:26:00 AM,3:26:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
118,401,10,8:05:00 AM,4:05:00 PM,"[Sunday,Monday,Tuesday,Saturday,Thursday]",Low
119,401,15.90857358,7:36:00 AM,3:36:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
120,401,24.1572602,7:03:00 AM,3:03:00 PM,"[Monday,Thursday,Sunday,Wednesday,Friday]",Bachelors
121,402,19.58731885,7:59:00 AM,3:59:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
122,402,10,7:33:00 AM,3:33:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
123,402,12.85244132,8:20:00 AM,4:20:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
124,402,10,7:40:00 AM,3:40:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
125,402,15.86073134,7:18:00 AM,3:18:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
126,403,10,8:27:00 AM,4:27:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
127,403,22.10833603,8:25:00 AM,4:25:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
128,403,19.44140255,7:06:00 AM,3:06:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
129,403,16.72233494,7:14:00 AM,3:14:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
130,403,16.54644692,8:46:00 AM,4:46:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
131,403,27.42903576,7:26:00 AM,3:26:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
132,403,14.62730657,8:17:00 AM,4:17:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
133,404,14.14186608,8:29:00 AM,4:29:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
134,404,12.97167186,8:19:00 AM,4:19:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
135,405,10,8:36:00 AM,4:36:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
136,405,13.53929593,8:20:00 AM,4:20:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
137,405,10,8:37:00 AM,4:37:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
138,405,14.57147924,8:05:00 AM,4:05:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
139,405,39.88502934,8:48:00 AM,4:48:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
140,405,20.25095473,7:23:00 AM,3:23:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
141,405,24.83217217,7:11:00 AM,3:11:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
142,406,19.67987736,8:41:00 AM,4:41:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
143,406,12.06765028,7:04:00 AM,3:04:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
144,406,10,8:40:00 AM,4:40:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
145,406,10,7:16:00 AM,3:16:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
146,406,11.87121806,8:31:00 AM,4:31:00 PM,"[Tuesday,Monday,Sunday,Friday,Wednesday]",HighSchoolOrCollege
147,406,22.15782087,7:38:00 AM,3:38:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
148,406,10,7:45:00 AM,3:45:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
149,406,11.99225338,8:11:00 AM,4:11:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
150,406,25.29164528,7:28:00 AM,3:28:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
151,407,10.12524121,7:57:00 AM,3:57:00 PM,"[Monday,Wednesday,Friday,Thursday,Saturday]",Graduate
152,407,13.89334192,8:24:00 AM,4:24:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
153,407,12.87021059,8:49:00 AM,4:49:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
154,407,21.76595927,8:07:00 AM,4:07:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
155,408,32.8701291,8:22:00 AM,4:22:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
156,408,17.90179862,7:35:00 AM,3:35:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
157,408,20.33824997,8:01:00 AM,4:01:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
158,408,52.52986838,7:51:00 AM,3:51:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
159,408,32.50100503,8:31:00 AM,4:31:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
160,408,10,7:34:00 AM,3:34:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
161,408,25.39164824,7:36:00 AM,3:36:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
162,408,14.5148474,7:39:00 AM,3:39:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
163,409,11.93544121,8:53:00 AM,4:53:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
164,409,10,7:25:00 AM,3:25:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
165,409,10,7:04:00 AM,3:04:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
166,409,23.98418718,7:51:00 AM,3:51:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
167,409,11.56763729,7:29:00 AM,3:29:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
168,409,10.94767356,7:59:00 AM,3:59:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
169,410,36.62755126,7:56:00 AM,3:56:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
170,410,10,8:35:00 AM,4:35:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
171,410,21.64691015,8:34:00 AM,4:34:00 PM,"[Friday,Monday,Saturday,Thursday,Tuesday]",Bachelors
172,410,16.0602716,8:24:00 AM,4:24:00 PM,"[Wednesday,Friday,Tuesday,Monday,Thursday]",HighSchoolOrCollege
173,410,15.97772778,8:55:00 AM,4:55:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
174,411,27.75018062,7:06:00 AM,3:06:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
175,411,10,8:15:00 AM,4:15:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
176,411,10,8:09:00 AM,4:09:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
177,411,49.10268587,7:20:00 AM,3:20:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
178,411,11.85173511,7:32:00 AM,3:32:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
179,411,10,7:48:00 AM,3:48:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
180,412,10,8:55:00 AM,4:55:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
181,412,10,7:27:00 AM,3:27:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
182,412,12.35116384,7:51:00 AM,3:51:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
183,412,11.13167191,7:37:00 AM,3:37:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
184,412,11.11063408,7:49:00 AM,3:49:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
185,412,10,8:22:00 AM,4:22:00 PM,"[Sunday,Tuesday,Wednesday,Friday,Saturday]",Low
186,413,10,7:44:00 AM,3:44:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
187,413,11.56660771,8:39:00 AM,4:39:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
188,413,11.87645633,8:37:00 AM,4:37:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
189,413,31.27552311,8:27:00 AM,4:27:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
190,413,34.33539182,7:08:00 AM,3:08:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
191,413,21.14235956,8:43:00 AM,4:43:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
192,413,14.78196419,8:02:00 AM,4:02:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
193,414,32.92036199,7:04:00 AM,3:04:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
194,414,30.5114404,8:30:00 AM,4:30:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
195,414,31.48805395,7:46:00 AM,3:46:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
196,414,13.22529229,7:56:00 AM,3:56:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
197,414,13.43881215,7:47:00 AM,3:47:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
198,414,10,8:43:00 AM,4:43:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
199,414,10,8:06:00 AM,4:06:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
200,414,22.18354952,7:23:00 AM,3:23:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
201,415,12.54666765,7:36:00 AM,3:36:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
202,415,43.44584439,7:49:00 AM,3:49:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
203,415,18.64465159,8:16:00 AM,4:16:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
204,415,10,8:30:00 AM,4:30:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
205,415,32.71086631,8:52:00 AM,4:52:00 PM,"[Sunday,Tuesday,Saturday,Thursday,Friday]",Bachelors
206,415,51.01456977,8:51:00 AM,4:51:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
207,416,34.59272913,8:36:00 AM,4:36:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
208,416,15.90146493,8:46:00 AM,4:46:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
209,416,17.90761706,8:31:00 AM,4:31:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
210,416,23.99947245,8:15:00 AM,4:15:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
211,416,10.77941864,7:47:00 AM,3:47:00 PM,"[Friday,Tuesday,Saturday,Wednesday,Thursday]",Low
212,416,82.98374609,7:06:00 AM,3:06:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
213,416,10.30066369,7:34:00 AM,3:34:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
214,417,27.82786272,8:29:00 AM,4:29:00 PM,"[Friday,Monday,Thursday,Wednesday,Tuesday]",HighSchoolOrCollege
215,417,13.79433128,8:10:00 AM,4:10:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
216,417,10,7:30:00 AM,3:30:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
217,417,19.11550852,8:33:00 AM,4:33:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
